Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
107839,Absdorf,2017,Niederösterreich,Donaugebiet zwischen Enns und March,182
115063,Abtenau,2017,Salzburg,Salzachgebiet,711
104489,Ach-Burghausen,2017,Oberösterreich,Salzachgebiet,473
101345,Achenkirch,2017,Tirol,Donaugebiet oberhalb des Inn,906
115154,Ackernalm,2017,Tirol,Inngebiet oberhalb der Salzach,1324
106153,Admont,2017,Steiermark,Ennsgebiet,700
111963,Aflenz Kurort,2017,Steiermark,Murgebiet,784
113548,Afritz,2017,Kärnten,Draugebiet,715
106104,Aigen im Ennstal,2017,Steiermark,Ennsgebiet,640
100842,Alberschwende,2017,Vorarlberg,Rheingebiet,717
108183,Alland (Autobahnmeisterei),2017,Niederösterreich,Donaugebiet zwischen Enns und March,339
108670,Alland-Groisbach,2017,Niederösterreich,Donaugebiet zwischen Enns und March,387
115097,Allentsteig,2017,Niederösterreich,Marchgebiet,599
105486,Almsee-Fischerau,2017,Oberösterreich,Traungebiet,574
111435,Alpl,2017,Steiermark,Raabgebiet,1020
115568,Annaberg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,924
126029,Annaberg,2017,Salzburg,Salzachgebiet,720
113035,Anras,2017,Tirol,Draugebiet,1300
110569,Apetlon,2017,Burgenland,Rabnitzgebiet,118
107557,Arbesbach,2017,Niederösterreich,Donaugebiet zwischen Enns und March,854
113746,Arnoldstein,2017,Kärnten,Draugebiet,580
109058,Artstetten-Nussendorf,2017,Niederösterreich,Donaugebiet zwischen Enns und March,599
112904,Arzberg,2017,Steiermark,Raabgebiet,566
106732,Arztaler Hochleger,2017,Tirol,Inngebiet oberhalb der Salzach,2130
104695,Aschach an der Donau,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,292
103218,Aschau,2017,Tirol,Inngebiet oberhalb der Salzach,1005
109959,Aspang,2017,Niederösterreich,Leithagebiet,454
103374,Assling-Vergein,2017,Tirol,Draugebiet,1400
105395,Attersee,2017,Oberösterreich,Traungebiet,495
109140,Atzenbrugg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,196
100560,Au-Argenau,2017,Vorarlberg,Rheingebiet,807
110239,Ausseraigen,2017,Niederösterreich,Leithagebiet,681
115675,Ausserhalbach,2017,Niederösterreich,Donaugebiet zwischen Enns und March,490
103309,Axams,2017,Tirol,Inngebiet oberhalb der Salzach,890
101543,Baad,2017,Vorarlberg,Donaugebiet oberhalb des Inn,1305
113803,Babniak,2017,Kärnten,Draugebiet,453
105122,Bad Aussee,2017,Steiermark,Traungebiet,665
113522,Bad Bleiberg,2017,Kärnten,Draugebiet,909
108555,Bad Deutsch-Altenburg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,173
112417,Bad Gleichenberg,2017,Steiermark,Murgebiet,303
105213,Bad Goisern,2017,Oberösterreich,Traungebiet,505
