Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
107839,Absdorf,2014,Niederösterreich,Donaugebiet zwischen Enns und March,182.0
115063,Abtenau,2014,Salzburg,Salzachgebiet,711.0
104489,Ach-Burghausen,2014,Oberösterreich,Salzachgebiet,473.0
101345,Achenkirch,2014,Tirol,Donaugebiet oberhalb des Inn,906.0
101550,Achenkirch-MühleggerköpflNIEDERSCHLAG,2014,Tirol,Donaugebiet oberhalb des Inn,900.0
115154,Ackernalm,2014,Tirol,Inngebiet oberhalb der Salzach,1324.0
106153,Admont,2014,Steiermark,Ennsgebiet,700.0
111963,Aflenz Kurort,2014,Steiermark,Murgebiet,784.0
113548,Afritz,2014,Kärnten,Draugebiet,712.0
106104,Aigen im Ennstal,2014,Steiermark,Ennsgebiet,640.0
100842,Alberschwende,2014,Vorarlberg,Rheingebiet,717.0
108183,Alland (Autobahnmeisterei)NIEDERSCHLAG,2014,Niederösterreich,Donaugebiet zwischen Enns und March,339.0
108670,Alland-Groisbach,2014,Niederösterreich,Donaugebiet zwischen Enns und March,387.0
115097,Allentsteig,2014,Niederösterreich,Marchgebiet,599.0
105486,Almsee-Fischerau,2014,Oberösterreich,Traungebiet,574.0
111435,Alpl,2014,Steiermark,Raabgebiet,1020.0
115568,Annaberg,2014,Niederösterreich,Donaugebiet zwischen Enns und March,924.0
126029,Annaberg,2014,Salzburg,Salzachgebiet,720.0
113035,Anras,2014,Tirol,Draugebiet,1300.0
110569,Apetlon,2014,Burgenland,Rabnitzgebiet,118.0
107557,Arbesbach,2014,Niederösterreich,Donaugebiet zwischen Enns und March,854.0
113746,Arnoldstein,2014,Kärnten,Draugebiet,574.0
109058,Artstetten-Nussendorf,2014,Niederösterreich,Donaugebiet zwischen Enns und March,599.0
112904,Arzberg,2014,Steiermark,Raabgebiet,566.0
106732,Arztaler Hochleger,2014,Tirol,Inngebiet oberhalb der Salzach,2130.0
104695,Aschach an der Donau,2014,Oberösterreich,Donaugebiet zwischen Inn und Traun,292.0
103218,Aschau,2014,Tirol,Inngebiet oberhalb der Salzach,1005.0
109959,Aspang,2014,Niederösterreich,Leithagebiet,454.0
103374,Assling-Vergein,2014,Tirol,Draugebiet,1400.0
105395,Attersee,2014,Oberösterreich,Traungebiet,495.0
109140,Atzenbrugg,2014,Niederösterreich,Donaugebiet zwischen Enns und March,196.0
100560,Au-Argenau,2014,Vorarlberg,Rheingebiet,807.0
110239,Ausseraigen,2014,Niederösterreich,Leithagebiet,681.0
115675,Ausserhalbach,2014,Niederösterreich,Donaugebiet zwischen Enns und March,490.0
