Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Gewässername,Einzugsgebietsgröße (km²)
201996,NeukaserDURCHFLUSS,2017,Tirol,Inngebiet oberhalb der Salzach,Zamserbach,24.2
201715,SausteinasteDURCHFLUSS,2017,Tirol,Inngebiet oberhalb der Salzach,Zemmbach,225
201723,PersalDURCHFLUSS,2017,Tirol,Inngebiet oberhalb der Salzach,Tuxbach,129.2
201749,MayrhofenDURCHFLUSS_TEMPERATUR,2017,Tirol,Inngebiet oberhalb der Salzach,Ziller,610.9
230755,Schwendberg-Aue,2017,Tirol,Inngebiet oberhalb der Salzach,Sidanbach,16
201756,Zell am Ziller-Zellbergeben,2017,Tirol,Inngebiet oberhalb der Salzach,Ziller,696.3
201970,EW-Gmünd,2017,Tirol,Inngebiet oberhalb der Salzach,Gerlosbach,141
201772,Rohr,2017,Tirol,Inngebiet oberhalb der Salzach,Gerlosbach,196.8
201780,Hart im Zillertal,2017,Tirol,Inngebiet oberhalb der Salzach,Ziller,1094.7
201806,Brixlegg,2017,Tirol,Inngebiet oberhalb der Salzach,Inn,8503.6
201814,Rattenberg,2017,Tirol,Inngebiet oberhalb der Salzach,Inn,8508.7
230896,Steinberg am Rofan-Außersteinberg,2017,Tirol,Inngebiet oberhalb der Salzach,Grundache,15
230904,Steinberg am Rofan-Untersteinberg,2017,Tirol,Inngebiet oberhalb der Salzach,Mühlbach,13
201822,Mariathal,2017,Tirol,Inngebiet oberhalb der Salzach,Brandenberger Ache,272.6
202697,Niederau,2017,Tirol,Inngebiet oberhalb der Salzach,Wildenbach,9.7
202218,Unterwindau,2017,Tirol,Inngebiet oberhalb der Salzach,Windauer Ache,82.1
201848,Hörbrunn,2017,Tirol,Inngebiet oberhalb der Salzach,Kelchsauer Ache,134.5
201863,Bruckhäusl,2017,Tirol,Inngebiet oberhalb der Salzach,Brixentaler Ache,322.3
201889,Kirchbichl - Bichlwang,2017,Tirol,Inngebiet oberhalb der Salzach,Inn,9310
202788,Scheffau a. Wilden Kaiser,2017,Tirol,Inngebiet oberhalb der Salzach,Hintersteiner See,2.3
202135,Söll,2017,Tirol,Inngebiet oberhalb der Salzach,Stampfangerbach,20.9
201897,Kaiserwerk,2017,Tirol,Inngebiet oberhalb der Salzach,Weißache,94
201905,Kufstein (Bahnhofsbrücke),2017,Tirol,Inngebiet oberhalb der Salzach,Inn,9502.7
230938,Kufstein (ÖBK),2017,Tirol,Inngebiet oberhalb der Salzach,Sparchenbach,34
202242,Thiersee (Seepegel),2017,Tirol,Inngebiet oberhalb der Salzach,Thiersee,6
202259,Thiersee,2017,Tirol,Inngebiet oberhalb der Salzach,Thierseebach,6.2
201830,Rettenschöß,2017,Tirol,Inngebiet oberhalb der Salzach,Walchentaler Bach,3.9
230912,Niederndorf (ÖBK),2017,Tirol,Inngebiet oberhalb der Salzach,Jennbach,37.6
230102,Oberaudorf,2017,Deutschland,Inngebiet oberhalb der Salzach,Inn,9712
201913,Kitzbühel (Bahnhofsbrücke),2017,Tirol,Inngebiet oberhalb der Salzach,Kitzbüheler Ache,153
202622,Kirchberg i.T.,2017,Tirol,Inngebiet oberhalb der Salzach,Aschauer Ache,79.2
202556,Kitzbühel (Seepegel),2017,Tirol,Inngebiet oberhalb der Salzach,Schwarzsee,1.8
201921,Sperten,2017,Tirol,Inngebiet oberhalb der Salzach,Aschauer Ache,147.4
206086,Furth (Ort),2017,Oberösterreich,Inngebiet unterhalb der Salzach,Schalchener Brunnbach,31.2
204677,Jahrsdorf,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Mattig,446.9
204685,Waldzell,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Waldzeller Ache,24
204693,Mettmach,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Mettmach,30.4
206748,Altheim,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Mühlheimer Ache,193
206722,Lindlau,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Moosbach,39.1
204701,Bauerding,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Lochbach,74.6
204719,Mamling,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Ach,314.9
206805,Danner,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Antiesen,55.6
204727,Pramet,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Oberach,13.2
204735,Ried im Innkreis (Ort),2017,Oberösterreich,Inngebiet unterhalb der Salzach,Rieder Bach,69.3
204750,Haging,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Antiesen,164.9
204768,Osternach,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Osternach,68.6
206201,Schärding (Schreibpegel),2017,Oberösterreich,Inngebiet unterhalb der Salzach,Inn,25520
206102,Pram,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Pram,14.2
204784,Riedau,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Pram,60.2
206326,Winertsham (Steg),2017,Oberösterreich,Inngebiet unterhalb der Salzach,Pram,128.1
206268,Lohstampf,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Messenbach,39.3
204826,Angsüß,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Pfudabach,64.1
204834,Alfersham,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Pfudabach,81.3
204842,Diersbach,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Diersbach,10.6
204867,Pramerdorf,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Pram,340.9
207019,Achleiten,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Donau,76653.3
207027,Engelhartszell,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Donau,77089.7
204875,Oberkappel,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Ranna,132.5
206771,Koblmühle,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Kleine Mühl,43.7
204883,Obermühl,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Kleine Mühl,200.2
204891,Vorderanger,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Große Mühl,125.3
204909,Pfaffetschlag,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Klafferbach,17.1
204917,Furtmühle,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Große Mühl,256.4
204925,Hartmannsdorf,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,Steinerne Mühl,137.9
201939,St. Johann in Tirol,2017,Tirol,Inngebiet oberhalb der Salzach,Kitzbüheler Ache,332.4
201947,Almdorf,2017,Tirol,Inngebiet oberhalb der Salzach,Fieberbrunner Ache,165.9
201954,Wohlmuting,2017,Tirol,Inngebiet oberhalb der Salzach,Großache,527.6
202382,Kössen-Hütte,2017,Tirol,Inngebiet oberhalb der Salzach,Großache,701.4
202549,Schwendt-Unterbichl,2017,Tirol,Inngebiet oberhalb der Salzach,Kohlenbach,47.9
202234,Walchsee (Seepegel),2017,Tirol,Inngebiet oberhalb der Salzach,Walchsee,28.5
202630,Kössen-Waidach,2017,Tirol,Inngebiet oberhalb der Salzach,Kohlenbach,100
204107,Krimml,2017,Salzburg,Salzachgebiet,Krimmlerache,110.7
203026,Wald i. Pzg.,2017,Salzburg,Salzachgebiet,Salzach,206.8
203893,Kees,2017,Salzburg,Salzachgebiet,Obersulzbach,19.2
203034,Sulzau,2017,Salzburg,Salzachgebiet,Obersulzbach,80.7
203042,Neukirchen,2017,Salzburg,Salzachgebiet,Untersulzbach,40.5
203596,Habach,2017,Salzburg,Salzachgebiet,Habach,45.3
203067,Mühlbach (Pinzgau),2017,Salzburg,Salzachgebiet,Mühlbach,32.3
203075,Mittersill,2017,Salzburg,Salzachgebiet,Salzach,582.6
