Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Gewässername,Gebirgsgruppe
395012,Teufelskirche,2017,Oberösterreich,Ennsgebiet,Vorderer Rettenbach,1651 Sengsengebirge
395038,WaldbachursprungQUELLE,2017,Oberösterreich,Traungebiet,Waldbach,1546 Hirlatz
395053,Hirschbrunn-Seeaustritt,2017,Oberösterreich,Traungebiet,Traun,1546 Hirlatz
395079,SteyernquelleQUELLE,2017,Oberösterreich,Ennsgebiet,Krumme Steyrling,1664 Ramsauer Größtenberg - Rotgsol
395087,KlingelmühlquelleQUELLE,2017,Oberösterreich,Traungebiet,Sipbach,1673 Alpenvorland zwischen Traun und Krems
395095,Geyerquelle,2017,Oberösterreich,Moldaugebiet,Bügelbach,6841 Mühlviertel zwischen Staatsgrenze und Großer Mühl
395103,Pießling Ursprung,2017,Oberösterreich,Ennsgebiet,Pießling,1636 Warscheneck
395111,Rettenbachquelle,2017,Oberösterreich,Ennsgebiet,Hinterer Rettenbach,1651 Sengsengebirge
395129,Florianer Brunnbach,2017,Oberösterreich,Inngebiet unterhalb der Salzach,Florianer Brunnbach,1576 Kobernaußer Wald
395137,Brunnental,2017,Oberösterreich,Ennsgebiet,Steyrling,1661 Kasberg
395145,Langwies/Miesbach,2017,Oberösterreich,Traungebiet,Miesbach,1567 Höllengebirge
395210,Gollinger Wasserfall,2017,Salzburg,Salzachgebiet,Schwarzbach,1336 Göll - Rossfeld
395228,Friedlbrunn Quelle,2017,Salzburg,Salzachgebiet,Saalach,1324 Leoganger Steinberge
395244,Marbachquelle,2017,Salzburg,Ennsgebiet,Marbach,2614 Mosermandl
395251,Dachserfall,2017,Salzburg,Salzachgebiet,Lammer,1511 Tennengebirge
395285,Pucherhäuslquelle,2017,Salzburg,Salzachgebiet,Schwarzleobach,1418 Spielberghorn
395293,Lammerquelle,2017,Salzburg,Salzachgebiet,Lammer,1511 Tennengebirge
395327,Schwarzlackenquelle,2017,Tirol,Donaugebiet oberhalb des Inn,Johannesbach,1257 Östliche Karwendelspitze
395343,Schreiende Brunnen,2017,Tirol,Inngebiet oberhalb der Salzach,Fieberbrunner Ache,1417 Geißstein
395350,Stubbachquelle,2017,Tirol,Inngebiet oberhalb der Salzach,Vomperbach,1256 Hochnissl
395368,Schwarzbach - Moosquelle,2017,Tirol,Donaugebiet oberhalb des Inn,Leutascher Ache,1232 Griesspitzen
395376,Mühlbachlquelle,2017,Tirol,Inngebiet oberhalb der Salzach,Kohlenbach,1321 Unterberghorn
